-15.6	-10	-5.4	-3.2	-2	-0.4	-0.6	-0.8	-1	2	-1	-2	-2.4	-2.8	-3.8	-3.8	-3.8	-3.8	2	-0.2	-1.6	-2.6	-3	-3.2	-3.4	-3.6	-0.4	0	0	0	0	-0.2	-0.4	-0.6	-0.6	2	-0.2	-1.6	-2.6	-3	-3.2	-3.4	-3.6	-1	-1	-1.8	-2.2	-2.8	-3.2	-3.4	-3.4	-3.6	-4.8	-5	-4.6	-4.2	-3.8	-3.2	-3	-5	-4.6	-4.2	-3.6	-3	-2.4	-2.4	-2.4	-0.4	-3	-3.6	-3.8	-3.6	-3	-2.6	-2.4	-3.2	-4	-4.6	-4.2	-3	-2.6	-2.6	-2.6	-3.6	-4.4	-4.6	-4	-3	-2.8	-2.6	-2.7	-2.4	-3	-3.6	-3.8	-3.6	-3	-2.6	-2.4	-5.1	-3.8	-3.4	-3.1	-2.9	-2.6	-2.4	-2.5	0.4	-1.4	-2	-2.2	-2.2	-2.2	-2.4	-2.4	0	0	0	0	0	2	-0.2	-2	-3.2	-2.6	-1	-1.6	-3	-3.4	-5.4	-5.8	-6	-6.8	-6.8	-6	-5	-3.8	-4.8	-5.2	-4.8	-3.6	-4.6	-4.2	-4.4	-4	-4	-4.2	-4	-3.8	-4.8	-5	-4.6	-9.3	-7	-6.1	-5.4	2	-1.6	-1.8	-1.6	0.4	-1.2	-1.6	-1.6	-1.6	-1.6	-1.6	-1	-2.6	-3.6	-3.8	-3.6
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	2	3	4	5	6	7	8	9	1	2	3	4	5	6	7	8	9	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	5	6	7	1	2	3	4	5
1	4	9	16	25	36	49	64	81	1	4	9	16	25	36	49	64	81	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	81	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	36	49	64	1	4	9	16	25	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	1	4	9	16	25	36	49	1	4	9	16	25
2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	25	25	25	25	25	25	25	25	26	26	26	26	26	26	26	26	27	27	27	27	27	27	27	27	28	28	28	28	28	28	28	28	29	29	29	29	29	29	29	29	30	30	30	30	30	30	30	30	31	31	31	31	31	31	31	31	32	32	32	32	32	32	32	32	1	1	1	1	1	7	7	7	7	8	8	8	8	25	25	25	25	26	26	26	26	27	27	27	27	28	28	28	28	29	29	29	29	30	30	30	30	31	31	31	31	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
